channel,level,node,mean,min,max,stdev,n
R1,floor,1,729.5,717,739,4.26,80
R1,floor,2,712.8,708,718,2.55,80
R1,floor,3,563.6,559,568,1.95,80
R1,floor,4,767.0,762,773,2.86,80
R1,floor,5,774.3,770,779,2.49,80
R1,floor,6,876.3,872,883,2.83,80
R1,floor,7,732.7,728,739,2.54,80
R1,floor,8,673.9,666,679,3.08,80
R2,floor,1,762.8,752,779,5.05,77
R2,floor,2,769.6,763,775,2.56,77
R2,floor,3,564.5,560,572,2.81,77
R2,floor,4,826.6,821,833,2.64,77
R2,floor,5,770.3,765,779,2.80,77
R2,floor,6,857.7,852,864,2.90,77
R2,floor,7,741.0,736,746,2.34,77
R2,floor,8,670.3,664,676,2.79,77
R3,floor,1,785.7,777,793,3.09,79
R3,floor,2,795.6,787,801,3.06,79
R3,floor,3,557.6,553,564,2.54,79
R3,floor,4,875.3,869,882,3.01,79
R3,floor,5,766.2,758,773,3.23,79
R3,floor,6,847.6,842,854,2.59,79
R3,floor,7,740.1,733,747,3.07,79
R3,floor,8,671.1,663,676,2.88,79
R4,floor,1,792.3,780,800,3.26,68
R4,floor,2,784.5,780,790,2.55,68
R4,floor,3,551.0,546,557,2.73,68
R4,floor,4,908.6,904,913,2.21,68
R4,floor,5,762.1,755,769,3.05,68
R4,floor,6,856.8,850,863,2.81,68
R4,floor,7,727.9,720,734,3.04,68
R4,floor,8,676.9,673,682,2.12,68
R5,floor,1,788.6,783,794,2.84,75
R5,floor,2,733.1,727,739,2.64,75
R5,floor,3,551.3,546,558,2.71,75
R5,floor,4,885.7,879,893,2.57,75
R5,floor,5,756.8,751,769,3.21,75
R5,floor,6,874.5,868,879,2.58,75
R5,floor,7,713.4,706,718,2.74,75
R5,floor,8,685.4,680,694,2.42,75
R6,floor,1,783.5,776,789,2.80,79
R6,floor,2,686.8,680,693,3.17,79
R6,floor,3,553.2,547,560,3.02,79
R6,floor,4,823.6,818,828,2.43,79
R6,floor,5,750.1,740,757,3.27,79
R6,floor,6,874.4,868,887,3.20,79
R6,floor,7,700.0,695,705,2.47,79
R6,floor,8,696.8,692,701,2.24,79
R7,floor,1,785.7,781,792,2.16,79
R7,floor,2,665.9,660,672,2.90,79
R7,floor,3,553.3,548,558,2.75,79
R7,floor,4,766.0,760,773,2.93,79
R7,floor,5,741.7,734,750,3.15,79
R7,floor,6,864.0,859,872,2.59,79
R7,floor,7,688.9,684,695,2.45,79
R7,floor,8,707.7,701,713,2.63,79
R8,floor,1,790.4,782,796,2.82,79
R8,floor,2,654.5,648,661,2.66,79
R8,floor,3,557.4,551,562,2.59,79
R8,floor,4,736.2,730,742,2.17,79
R8,floor,5,730.3,726,737,2.35,79
R8,floor,6,851.1,845,860,3.03,79
R8,floor,7,676.6,670,684,2.99,79
R8,floor,8,714.9,709,721,2.51,79
R1,pit,1,1295.8,1289,1305,3.25,79
R1,pit,2,1108.6,1100,1114,3.03,79
R1,pit,3,823.3,811,834,5.27,79
R1,pit,4,1140.6,1132,1150,3.88,79
R1,pit,5,1068.2,1056,1081,4.76,79
R1,pit,6,1317.8,1311,1325,3.68,79
R1,pit,7,1163.8,1150,1178,6.59,79
R1,pit,8,1126.2,1119,1134,3.57,79
R1,race,1,1520.5,1515,1527,2.11,77
R1,race,2,1407.9,1402,1413,2.52,77
R1,race,3,1251.7,1239,1260,4.02,77
R1,race,4,1552.2,1542,1560,3.38,77
R1,race,5,1532.1,1520,1538,3.67,77
R1,race,6,1650.1,1646,1655,2.02,77
R1,race,7,1529.1,1525,1534,2.22,77
R1,race,8,1490.1,1484,1496,2.43,77
R2,pit,1,1321.6,1312,1330,3.50,79
R2,pit,2,1113.4,1106,1122,4.04,79
R2,pit,3,900.6,890,909,3.94,79
R2,pit,4,1297.8,1290,1310,3.15,79
R2,pit,5,1007.0,997,1015,3.90,79
R2,pit,6,1221.0,1211,1236,4.96,79
R2,pit,7,1228.2,1216,1238,4.71,79
R2,pit,8,1109.2,1103,1114,2.51,79
R2,race,1,1523.8,1516,1529,2.69,79
R2,race,2,1417.8,1412,1424,2.25,79
R2,race,3,1326.5,1316,1333,3.45,79
R2,race,4,1606.9,1601,1613,2.61,79
R2,race,5,1511.0,1501,1518,4.09,79
R2,race,6,1624.9,1619,1631,2.39,79
R2,race,7,1543.2,1537,1549,2.97,79
R2,race,8,1490.6,1485,1496,2.42,79
R3,pit,1,1349.4,1338,1361,4.38,79
R3,pit,2,1204.2,1199,1210,2.78,79
R3,pit,3,922.8,909,941,6.96,79
R3,pit,4,1396.7,1388,1407,4.54,79
R3,pit,5,965.1,948,993,9.22,79
R3,pit,6,1174.2,1167,1188,4.59,79
R3,pit,7,1244.7,1235,1257,5.62,79
R3,pit,8,1091.1,1082,1102,3.91,79
R3,race,1,1526.3,1521,1532,1.90,78
R3,race,2,1431.3,1426,1436,2.49,78
R3,race,3,1339.2,1329,1347,4.34,78
R3,race,4,1618.6,1612,1625,2.40,78
R3,race,5,1475.4,1459,1487,6.34,78
R3,race,6,1614.5,1610,1621,2.29,78
R3,race,7,1554.2,1548,1560,2.38,78
R3,race,8,1489.3,1484,1496,2.37,78
R4,pit,1,1310.4,1304,1318,3.54,79
R4,pit,2,1214.2,1209,1222,2.74,79
R4,pit,3,921.0,912,929,4.39,79
R4,pit,4,1437.4,1430,1444,3.20,79
R4,pit,5,996.6,973,1017,7.35,79
R4,pit,6,1168.0,1150,1181,5.63,79
R4,pit,7,1115.3,1100,1132,8.13,79
R4,pit,8,1004.5,996,1020,4.73,79
R4,race,1,1525.9,1519,1529,2.21,75
R4,race,2,1435.6,1430,1441,2.32,75
R4,race,3,1345.8,1340,1352,2.90,75
R4,race,4,1624.8,1620,1630,2.12,75
R4,race,5,1501.3,1485,1514,7.31,75
R4,race,6,1612.4,1607,1621,2.93,75
R4,race,7,1527.5,1520,1532,2.69,75
R4,race,8,1450.6,1445,1458,2.88,75
R5,pit,1,1331.0,1322,1338,3.09,79
R5,pit,2,1107.2,1098,1119,3.95,79
R5,pit,3,917.3,901,931,5.51,79
R5,pit,4,1416.2,1409,1423,3.70,79
R5,pit,5,1054.8,1042,1068,6.20,79
R5,pit,6,1338.2,1329,1344,3.11,79
R5,pit,7,1198.3,1184,1213,6.04,79
R5,pit,8,1068.4,1057,1073,3.30,79
R5,race,1,1522.9,1518,1528,2.28,78
R5,race,2,1420.6,1416,1426,2.26,78
R5,race,3,1343.4,1334,1351,3.79,78
R5,race,4,1621.7,1616,1625,1.89,78
R5,race,5,1551.9,1544,1559,3.11,78
R5,race,6,1654.8,1649,1661,2.30,78
